REFERENCE_COMPOUND_NAME,PUBCHEM_CID,CHEBI_ID,CHEBI_NAME,COMPOUND_ID,MolecularFormula,CanonicalSMILES,IsomericSMILES,InChI,InChIKey,IUPACName,Fingerprint2D,inflammation,multiple_sclerosis,mental_health
DUKE:SALICYL-ALCOHOL,PCID:5146,CHEBI:16464,salicyl alcohol,PCID:5146,C7H8O2,C1=CC=C(C(=C1)CO)O,C1=CC=C(C(=C1)CO)O,"InChI=1S/C7H8O2/c8-5-6-3-1-2-4-7(6)9/h1-4,8-9H,5H2",CQRYARSYNCAZFO-UHFFFAOYSA-N,2-(hydroxymethyl)phenol,AAADccBgMAAAAAAAAAAAAAAAAAAAAAAAAAAwAAAAAAAAAAABAAAAGgAACAAADASgmAIwBoAAAgCAAiBCAAACAAAgIAAIiAAGCIgINyKCERKAcAAlwBEImAeAwCAOAAAAAAAIAAAAAAAAABAAAAAAAAAAAA==,False,False,False
DUKE:ALPHA-HUMULENE-EPOXIDE,PCID:14038843,CHEBI:NA,,PCID:14038843,C15H24O,CC1=CCCC2(C(O2)CC(C=CC1)(C)C)C,C/C/1=C\CC[C@@]2([C@H](O2)CC(/C=C/C1)(C)C)C,"InChI=1S/C15H24O/c1-12-7-5-9-14(2,3)11-13-15(4,16-13)10-6-8-12/h5,8-9,13H,6-7,10-11H2,1-4H3/b9-5+,12-8+/t13-,15-/m1/s1",RKQDKXOBRXTSFS-UOAUIWSESA-N,"(1R,4E,7E,11R)-1,5,9,9-tetramethyl-12-oxabicyclo[9.1.0]dodeca-4,7-diene",AAADceBwIAAAAAAAAAAAAAAAEgAAAAAAAAAAAAAAAAAAAAAAAAAAGgAAAAAADlSggAICAAAABACAAiBCAAAAAAAgAAAICAAAAAgAAAIAAQACAAAEgAAIAAOAgMAPAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==,False,False,False
DUKE:CHLOROGENIN,PCID:12303065,CHEBI:188325,Chlorogenin,PCID:12303065,C27H44O4,CC1CCC2(C(C3C(O2)CC4C3(CCC5C4CC(C6C5(CCC(C6)O)C)O)C)C)OC1,C[C@@H]1CC[C@@]2([C@H]([C@H]3[C@@H](O2)C[C@@H]4[C@@]3(CC[C@H]5[C@H]4C[C@@H]([C@@H]6[C@@]5(CC[C@@H](C6)O)C)O)C)C)OC1,"InChI=1S/C27H44O4/c1-15-5-10-27(30-14-15)16(2)24-23(31-27)13-20-18-12-22(29)21-11-17(28)6-8-25(21,3)19(18)7-9-26(20,24)4/h15-24,28-29H,5-14H2,1-4H3/t15-,16+,17+,18-,19+,20+,21-,22+,23+,24+,25-,26+,27-/m1/s1",PZNPHSFXILSZTM-JUGSJECZSA-N,"(1R,2S,4S,5'R,6R,7S,8R,9S,12S,13R,16S,18S,19S)-5',7,9,13-tetramethylspiro[5-oxapentacyclo[10.8.0.02,9.04,8.013,18]icosane-6,2'-oxane]-16,19-diol",AAADcfB4OAAAAAAAAAAAAAAAAAAAAaIAAAA0YMEAAAASAGDAAAAAGgAACAAADxSggAICCAAABgAAAAAAAAAAAAAAAAAAAAAAAAAQEAIAAAAiQAAEAAAEAAHA4PwPgAAAAAAAAADAAAYAADAAAYAADAAAAA==,True,True,True
DUKE:JODRELLIN-B,PCID:44558984,CHEBI:NA,,PCID:44558984,C26H36O8,CC1CC(C23C(C1(C)C4CC5C=COC5O4)CC(CC26CO6)OC3OC(=O)C(C)C)OC(=O)C,C[C@@H]1C[C@@H]([C@]23[C@@H]([C@@]1(C)[C@@H]4C[C@H]5C=CO[C@H]5O4)C[C@H](C[C@]26CO6)OC3OC(=O)C(C)C)OC(=O)C,"InChI=1S/C26H36O8/c1-13(2)21(28)34-23-26-18(10-17(32-23)11-25(26)12-30-25)24(5,14(3)8-20(26)31-15(4)27)19-9-16-6-7-29-22(16)33-19/h6-7,13-14,16-20,22-23H,8-12H2,1-5H3/t14-,16-,17-,18-,19+,20+,22+,23?,24+,25+,26+/m1/s1",YLVIOFHEIFHWJO-HDOZWTQVSA-N,"[(1R,2S,4R,5S,6R,8R,11R)-5-[(3aS,5S,6aS)-3a,4,5,6a-tetrahydrofuro[2,3-b]furan-5-yl]-2-acetyloxy-4,5-dimethylspiro[9-oxatricyclo[6.2.2.01,6]dodecane-11,2'-oxirane]-10-yl] 2-methylpropanoate",AAADcfB4PAAAAAAAAAAAAAAAEgAAASIAAAA0aIEAAAAQAADQAAAAGgAAAAAAD1SwgAMCCAAABACIACDSCAAACAAgIAAIAAEAAAgQAAIAAQAiAAAFwAAEAAHA4PwPgAAAAAAAAADAAAYQADAAAAAAAAAAAA==,False,False,False
DUKE:OKANIN,PCID:5281294,CHEBI:7734,okanin,PCID:5281294,C15H12O6,C1=CC(=C(C=C1C=CC(=O)C2=C(C(=C(C=C2)O)O)O)O)O,C1=CC(=C(C=C1/C=C/C(=O)C2=C(C(=C(C=C2)O)O)O)O)O,"InChI=1S/C15H12O6/c16-10(9-3-6-12(18)15(21)14(9)20)4-1-8-2-5-11(17)13(19)7-8/h1-7,17-21H/b4-1+",GSBNFGRTUCCBTK-DAFODLJHSA-N,"(E)-3-(3,4-dihydroxyphenyl)-1-(2,3,4-trihydroxyphenyl)prop-2-en-1-one",AAADccBwOAAAAAAAAAAAAAAAAAAAAAAAAAAwYAAAAAAAAAABQAAAGgAACAAADASAmAAwBoAAAgCIAqBSAAACAAAkIAAIiAEGiMgJJzaCFRKAcUEl4BUJmYeK7LTOIAABCAAIQABAAAIQABCAAAAAAAAAAA==,False,False,False
DUKE:ISOPLUMERICINE,PCID:6330209,CHEBI:NA,,PCID:6330209,C15H14O6,CC=C1C2C3(C=CC4C3C(O2)OC=C4C(=O)OC)OC1=O,C/C=C\1/[C@@H]2[C@]3(C=C[C@@H]4[C@H]3[C@H](O2)OC=C4C(=O)OC)OC1=O,"InChI=1S/C15H14O6/c1-3-7-11-15(21-13(7)17)5-4-8-9(12(16)18-2)6-19-14(20-11)10(8)15/h3-6,8,10-11,14H,1-2H3/b7-3-/t8-,10-,11+,14-,15+/m0/s1",VFXXNAVZODKBIW-ADVXZGNDSA-N,"methyl (1R,4R,8S,10R,11Z,14R)-11-ethylidene-12-oxo-7,9,13-trioxatetracyclo[6.5.1.01,10.04,14]tetradeca-2,5-diene-5-carboxylate",AAADccBwOAAAAAAAAAAAAAAAAAAAASJEAAAgAAAAAAASIEAAAAAAGgAAAAAADVSwgAMCCAAABACIAiDSCAAACAAgIAAICAEAAEgRBBYAIQAiEAAF4AAOIYPK7PzOgAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==,False,False,False
DUKE:CANTONIENSISTRIOL,PCID:14335979,CHEBI:NA,,PCID:14335979,C30H50O3,CC1(CC2C3=CCC4C5(CCC(C(C5CCC4(C3(CCC2(C(C1O)O)C)C)C)(C)C)O)C)C,C[C@]12CC[C@@H](C([C@@H]1CC[C@@]3([C@@H]2CC=C4[C@]3(CC[C@@]5([C@H]4CC([C@H]([C@H]5O)O)(C)C)C)C)C)(C)C)O,"InChI=1S/C30H50O3/c1-25(2)17-19-18-9-10-21-28(6)13-12-22(31)26(3,4)20(28)11-14-30(21,8)29(18,7)16-15-27(19,5)24(33)23(25)32/h9,19-24,31-33H,10-17H2,1-8H3/t19-,20-,21+,22-,23-,24+,27+,28-,29+,30+/m0/s1",KHUOEBOCRCJBCG-HGLJOERNSA-N,"(3R,4S,4aR,6aR,6aS,6bR,8aR,10S,12aR,14bS)-2,2,4a,6a,6b,9,9,12a-octamethyl-1,3,4,5,6,6a,7,8,8a,10,11,12,13,14b-tetradecahydropicene-3,4,10-triol",AAADcfB4MAAAAAAAAAAAAAAAAAAAAAAAAAAwYMGCAAAAAADAAAAAGgAACAAADxSggAICAAAAAgCAAiBCAAAAAAAgAAAACAAAAAgBEAIAAQAAQAAEgAAJAAOAwPAPgAAAAAAAAADAAAYAADCAAAAAAAAAAA==,False,False,False
"DUKE:3,4-BENZOPYRENE",PCID:2336,CHEBI:29865,benzo[a]pyrene,PCID:2336,C20H12,C1=CC=C2C3=C4C(=CC2=C1)C=CC5=C4C(=CC=C5)C=C3,C1=CC=C2C3=C4C(=CC2=C1)C=CC5=C4C(=CC=C5)C=C3,InChI=1S/C20H12/c1-2-7-17-15(4-1)12-16-9-8-13-5-3-6-14-10-11-18(17)20(16)19(13)14/h1-12H,FMMWHPNWAFZXNH-UHFFFAOYSA-N,benzo[a]pyrene,AAADccB4AAAAAAAAAAAAAAAAAAAAAAAAAAAwYMGDAAAAAADBVAAAGAAAAAAADACAGAAwAMAAAACAAiBCAAACAAAgAAAIiAAAAIgIICKAERCAIAAggAAIiAcAgMAOwAACAAAQAACAAAQAACAAAAAAAAAAAA==,False,False,False
DUKE:D-MANNOHEPTULOSE,PCID:12600,CHEBI:78365,D-manno-heptulose,PCID:12600,C7H14O7,C(C(C(C(C(C(=O)CO)O)O)O)O)O,C([C@H]([C@H]([C@@H]([C@@H](C(=O)CO)O)O)O)O)O,"InChI=1S/C7H14O7/c8-1-3(10)5(12)7(14)6(13)4(11)2-9/h3,5-10,12-14H,1-2H2/t3-,5-,6-,7+/m1/s1",HSNZZMHEPUFJNZ-QMTIVRBISA-N,"(3S,4S,5R,6R)-1,3,4,5,6,7-hexahydroxyheptan-2-one",AAADccBgOAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAGgAACAAACBSggAIAAAAAAgAIAIAQAAIAAAAAAAAAAAFAAAABEBYAAAAAQAAFIAABAAHK7CRAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==,False,False,False
DUKE:5-HYDROXYINDOLE-3-ACETIC-ACID,PCID:1826,CHEBI:27823,(5-hydroxyindol-3-yl)acetic acid,PCID:1826,C10H9NO3,C1=CC2=C(C=C1O)C(=CN2)CC(=O)O,C1=CC2=C(C=C1O)C(=CN2)CC(=O)O,"InChI=1S/C10H9NO3/c12-7-1-2-9-8(4-7)6(5-11-9)3-10(13)14/h1-2,4-5,11-12H,3H2,(H,13,14)",DUUGKQCEGZLZNO-UHFFFAOYSA-N,2-(5-hydroxy-1H-indol-3-yl)acetic acid,AAADccByMAAAAAAAAAAAAAAAAAAAAWAAAAAwAAAAAAAAAFgB8AAAHgAQCAAADAzBngQ8zvLJkgCoAzT3TACCgCAxIiAI2aE+bJgIJvLClZOEcAhk0BHI2Ae82fOegEABAAACAAAAgAIAAAQAAAAAAAAAAA==,False,False,False
